Date,Time,Location
15/1/2022,14:00:00,Pondok Labu
15/1/2022,15:00:00,Pondok Labu
15/1/2022,16:00:00,Cinere
15/1/2022,17:00:00,Cinere
15/1/2022,18:00:00,Cilandak Timur
15/1/2022,19:00:00,Cilandak Timur
15/1/2022,20:00:00,Cilandak Timur
15/1/2022,21:00:00,Cilandak Timur
15/1/2022,22:00:00,Cilandak Timur
15/1/2022,23:00:00,Cilandak Timur
16/1/2022,0:00:00,Cilandak Timur
16/1/2022,1:00:00,Cilandak Timur
16/1/2022,2:00:00,Cilandak Timur
16/1/2022,3:00:00,Cilandak Timur
16/1/2022,4:00:00,Cilandak Timur
16/1/2022,5:00:00,Cilandak Timur
16/1/2022,6:00:00,Cilandak Timur
16/1/2022,7:00:00,Cilandak Timur
16/1/2022,8:00:00,Pondok Labu
16/1/2022,9:00:00,Pondok Labu
16/1/2022,10:00:00,Pondok Labu
16/1/2022,11:00:00,Pondok Labu
16/1/2022,12:00:00,Pondok Labu
16/1/2022,13:00:00,Limo
16/1/2022,14:00:00,Limo
16/1/2022,15:00:00,Rangakapan Jaya
16/1/2022,16:00:00,Rangakapan Jaya
16/1/2022,17:00:00,Rangakapan Jaya
16/1/2022,18:00:00,Rangakapan Jaya
16/1/2022,19:00:00,Rangakapan Jaya
16/1/2022,20:00:00,Rangakapan Jaya
16/1/2022,21:00:00,Rangakapan Jaya
16/1/2022,22:00:00,Rangakapan Jaya
16/1/2022,23:00:00,Rangakapan Jaya
17/1/2022,0:00:00,Rangakapan Jaya
17/1/2022,1:00:00,Rangakapan Jaya
17/1/2022,2:00:00,Rangakapan Jaya
17/1/2022,3:00:00,Rangakapan Jaya
17/1/2022,4:00:00,Rangakapan Jaya
17/1/2022,5:00:00,Rangakapan Jaya
17/1/2022,6:00:00,Rangakapan Jaya
17/1/2022,7:00:00,Rangakapan Jaya
17/1/2022,8:00:00,Pejaten Timur
17/1/2022,9:00:00,Pejaten Timur
17/1/2022,10:00:00,Pejaten Timur
17/1/2022,11:00:00,Pejaten Timur
17/1/2022,12:00:00,Pejaten Timur
17/1/2022,13:00:00,Pejaten Timur
17/1/2022,14:00:00,Pejaten Timur
17/1/2022,15:00:00,Pejaten Timur
17/1/2022,16:00:00,Ragunan
17/1/2022,17:00:00,Ragunan
17/1/2022,18:00:00,Cilandak Timur
17/1/2022,19:00:00,Cilandak Timur
17/1/2022,20:00:00,Cilandak Timur
17/1/2022,21:00:00,Cilandak Timur
17/1/2022,22:00:00,Cilandak Timur
17/1/2022,23:00:00,Cilandak Timur
18/1/2022,0:00:00,Cilandak Timur
18/1/2022,1:00:00,Cilandak Timur
18/1/2022,2:00:00,Cilandak Timur
18/1/2022,3:00:00,Cilandak Timur
18/1/2022,4:00:00,Cilandak Timur
18/1/2022,5:00:00,Cilandak Timur
18/1/2022,6:00:00,Cilandak Timur
18/1/2022,7:00:00,Cilandak Timur
18/1/2022,8:00:00,Pejaten Timur
18/1/2022,9:00:00,Pejaten Timur
18/1/2022,10:00:00,Pejaten Timur
18/1/2022,11:00:00,Pejaten Timur
18/1/2022,12:00:00,Pejaten Timur
18/1/2022,13:00:00,Pejaten Timur
18/1/2022,14:00:00,Pejaten Timur
18/1/2022,15:00:00,Pejaten Timur
18/1/2022,16:00:00,Ragunan
18/1/2022,17:00:00,Ragunan
18/1/2022,18:00:00,Cilandak Timur
18/1/2022,19:00:00,Cilandak Timur
18/1/2022,20:00:00,Cilandak Timur
18/1/2022,21:00:00,Cilandak Timur
18/1/2022,22:00:00,Cilandak Timur
18/1/2022,23:00:00,Cilandak Timur
19/1/2022,0:00:00,Cilandak Timur
19/1/2022,1:00:00,Cilandak Timur
19/1/2022,2:00:00,Cilandak Timur
19/1/2022,3:00:00,Cilandak Timur
19/1/2022,4:00:00,Cilandak Timur
19/1/2022,5:00:00,Cilandak Timur
19/1/2022,6:00:00,Cilandak Timur
19/1/2022,7:00:00,Cilandak Timur
19/1/2022,8:00:00,Pejaten Timur
19/1/2022,9:00:00,Pejaten Timur
19/1/2022,10:00:00,Pejaten Timur
19/1/2022,11:00:00,Pejaten Timur
19/1/2022,12:00:00,Pejaten Timur
19/1/2022,13:00:00,Pejaten Timur
19/1/2022,14:00:00,Pejaten Timur
19/1/2022,15:00:00,Pejaten Timur
19/1/2022,16:00:00,Ragunan
19/1/2022,17:00:00,Ragunan
19/1/2022,18:00:00,Cilandak Timur
19/1/2022,19:00:00,Cilandak Timur
19/1/2022,20:00:00,Cilandak Timur
19/1/2022,21:00:00,Cilandak Timur
19/1/2022,22:00:00,Cilandak Timur
19/1/2022,23:00:00,Cilandak Timur
20/1/2022,0:00:00,Cilandak Timur
20/1/2022,1:00:00,Cilandak Timur
20/1/2022,2:00:00,Cilandak Timur
20/1/2022,3:00:00,Cilandak Timur
20/1/2022,4:00:00,Cilandak Timur
20/1/2022,5:00:00,Cilandak Timur
20/1/2022,6:00:00,Cilandak Timur
20/1/2022,7:00:00,Cilandak Timur
20/1/2022,8:00:00,Pejaten Timur
20/1/2022,9:00:00,Pejaten Timur
20/1/2022,10:00:00,Pejaten Timur
20/1/2022,11:00:00,Pejaten Timur
20/1/2022,12:00:00,Pejaten Timur
20/1/2022,13:00:00,Pejaten Timur
20/1/2022,14:00:00,Pejaten Timur
20/1/2022,15:00:00,Pejaten Timur
20/1/2022,16:00:00,Ragunan
20/1/2022,17:00:00,Ragunan
20/1/2022,18:00:00,Cilandak Timur
20/1/2022,19:00:00,Cilandak Timur
20/1/2022,20:00:00,Cilandak Timur
20/1/2022,21:00:00,Cilandak Timur
20/1/2022,22:00:00,Cilandak Timur
20/1/2022,23:00:00,Cilandak Timur
21/1/2022,0:00:00,Cilandak Timur
21/1/2022,1:00:00,Cilandak Timur
21/1/2022,2:00:00,Cilandak Timur
21/1/2022,3:00:00,Cilandak Timur
21/1/2022,4:00:00,Cilandak Timur
21/1/2022,5:00:00,Cilandak Timur
21/1/2022,6:00:00,Cilandak Timur
21/1/2022,7:00:00,Cilandak Timur
21/1/2022,8:00:00,Pejaten Timur
21/1/2022,9:00:00,Pejaten Timur
21/1/2022,10:00:00,Pejaten Timur
21/1/2022,11:00:00,Pejaten Timur
21/1/2022,12:00:00,Pejaten Timur
21/1/2022,13:00:00,Pejaten Timur
21/1/2022,14:00:00,Pejaten Timur
21/1/2022,15:00:00,Pejaten Timur
21/1/2022,16:00:00,Ragunan
21/1/2022,17:00:00,Ragunan
21/1/2022,18:00:00,Cilandak Timur
21/1/2022,19:00:00,Cilandak Timur
21/1/2022,20:00:00,Cilandak Timur
21/1/2022,21:00:00,Cilandak Timur
21/1/2022,22:00:00,Cilandak Timur
21/1/2022,23:00:00,Cilandak Timur
22/1/2022,0:00:00,Cilandak Timur
22/1/2022,1:00:00,Cilandak Timur
22/1/2022,2:00:00,Cilandak Timur
22/1/2022,3:00:00,Cilandak Timur
22/1/2022,4:00:00,Cilandak Timur
22/1/2022,5:00:00,Cilandak Timur
22/1/2022,6:00:00,Cilandak Timur
22/1/2022,7:00:00,Cilandak Timur
22/1/2022,8:00:00,Pejaten Timur
22/1/2022,9:00:00,Pejaten Timur
22/1/2022,10:00:00,Pejaten Timur
22/1/2022,11:00:00,Pejaten Timur
22/1/2022,12:00:00,Pejaten Timur
22/1/2022,13:00:00,Pejaten Timur
22/1/2022,14:00:00,Pejaten Timur
22/1/2022,15:00:00,Pejaten Timur
22/1/2022,16:00:00,Ragunan
22/1/2022,17:00:00,Ragunan
22/1/2022,18:00:00,Rangakapan Jaya
22/1/2022,19:00:00,Rangakapan Jaya
22/1/2022,20:00:00,Rangakapan Jaya
22/1/2022,21:00:00,Rangakapan Jaya
22/1/2022,22:00:00,Rangakapan Jaya
22/1/2022,23:00:00,Rangakapan Jaya
23/1/2022,0:00:00,Rangakapan Jaya
23/1/2022,1:00:00,Rangakapan Jaya
23/1/2022,2:00:00,Rangakapan Jaya
23/1/2022,3:00:00,Rangakapan Jaya
23/1/2022,4:00:00,Rangakapan Jaya
23/1/2022,5:00:00,Rangakapan Jaya
23/1/2022,6:00:00,Rangakapan Jaya
23/1/2022,7:00:00,Rangakapan Jaya
23/1/2022,8:00:00,Pejaten Timur
23/1/2022,9:00:00,Pejaten Timur
23/1/2022,10:00:00,Pejaten Timur
23/1/2022,11:00:00,Pejaten Timur
23/1/2022,12:00:00,Pejaten Timur
23/1/2022,13:00:00,Pejaten Timur
23/1/2022,14:00:00,Pejaten Timur
23/1/2022,15:00:00,Pejaten Timur
23/1/2022,16:00:00,Ragunan
23/1/2022,17:00:00,Ragunan
23/1/2022,18:00:00,Cilandak Timur
23/1/2022,19:00:00,Cilandak Timur
23/1/2022,20:00:00,Cilandak Timur
23/1/2022,21:00:00,Cilandak Timur
23/1/2022,22:00:00,Cilandak Timur
23/1/2022,23:00:00,Cilandak Timur
24/1/2022,0:00:00,Cilandak Timur
24/1/2022,1:00:00,Cilandak Timur
24/1/2022,2:00:00,Cilandak Timur
24/1/2022,3:00:00,Cilandak Timur
24/1/2022,4:00:00,Cilandak Timur
24/1/2022,5:00:00,Cilandak Timur
24/1/2022,6:00:00,Cilandak Timur
24/1/2022,7:00:00,Cilandak Timur
24/1/2022,8:00:00,Pondok Labu
24/1/2022,9:00:00,Pondok Labu
24/1/2022,10:00:00,Pondok Labu
24/1/2022,11:00:00,Pondok Labu
24/1/2022,12:00:00,Pondok Labu
24/1/2022,13:00:00,Limo
24/1/2022,14:00:00,Limo
24/1/2022,15:00:00,Limo
24/1/2022,16:00:00,Rangakapan Jaya
24/1/2022,17:00:00,Rangakapan Jaya
24/1/2022,18:00:00,Rangakapan Jaya
24/1/2022,19:00:00,Rangakapan Jaya
24/1/2022,20:00:00,Rangakapan Jaya
24/1/2022,21:00:00,Rangakapan Jaya
24/1/2022,22:00:00,Rangakapan Jaya
24/1/2022,23:00:00,Rangakapan Jaya
25/1/2022,0:00:00,Rangakapan Jaya
25/1/2022,1:00:00,Rangakapan Jaya
25/1/2022,2:00:00,Rangakapan Jaya
25/1/2022,3:00:00,Rangakapan Jaya
25/1/2022,4:00:00,Rangakapan Jaya
25/1/2022,5:00:00,Rangakapan Jaya
25/1/2022,6:00:00,Rangakapan Jaya
25/1/2022,7:00:00,Rangakapan Jaya
25/1/2022,8:00:00,Pejaten Timur
25/1/2022,9:00:00,Pejaten Timur
25/1/2022,10:00:00,Pejaten Timur
25/1/2022,11:00:00,Pejaten Timur
25/1/2022,12:00:00,Pejaten Timur
25/1/2022,13:00:00,Pejaten Timur
25/1/2022,14:00:00,Pejaten Timur
25/1/2022,15:00:00,Pejaten Timur
25/1/2022,16:00:00,Ragunan
25/1/2022,17:00:00,Ragunan
25/1/2022,18:00:00,Cilandak Timur
25/1/2022,19:00:00,Cilandak Timur
25/1/2022,20:00:00,Cilandak Timur
25/1/2022,21:00:00,Cilandak Timur
25/1/2022,22:00:00,Cilandak Timur
25/1/2022,23:00:00,Cilandak Timur
26/1/2022,0:00:00,Cilandak Timur
26/1/2022,1:00:00,Cilandak Timur
26/1/2022,2:00:00,Cilandak Timur
26/1/2022,3:00:00,Cilandak Timur
26/1/2022,4:00:00,Cilandak Timur
26/1/2022,5:00:00,Cilandak Timur
26/1/2022,6:00:00,Cilandak Timur
26/1/2022,7:00:00,Cilandak Timur
26/1/2022,8:00:00,Pejaten Timur
26/1/2022,9:00:00,Pejaten Timur
26/1/2022,10:00:00,Pejaten Timur
26/1/2022,11:00:00,Pejaten Timur
26/1/2022,12:00:00,Pejaten Timur
26/1/2022,13:00:00,Pejaten Timur
26/1/2022,14:00:00,Pejaten Timur
26/1/2022,15:00:00,Pejaten Timur
26/1/2022,16:00:00,Ragunan
26/1/2022,17:00:00,Ragunan
26/1/2022,18:00:00,Cilandak Timur
26/1/2022,19:00:00,Cilandak Timur
26/1/2022,20:00:00,Cilandak Timur
26/1/2022,21:00:00,Cilandak Timur
26/1/2022,22:00:00,Cilandak Timur
26/1/2022,23:00:00,Cilandak Timur
27/1/2022,0:00:00,Cilandak Timur
27/1/2022,1:00:00,Cilandak Timur
27/1/2022,2:00:00,Cilandak Timur
27/1/2022,3:00:00,Cilandak Timur
27/1/2022,4:00:00,Cilandak Timur
27/1/2022,5:00:00,Cilandak Timur
27/1/2022,6:00:00,Cilandak Timur
27/1/2022,7:00:00,Cilandak Timur
27/1/2022,8:00:00,Pejaten Timur
27/1/2022,9:00:00,Pejaten Timur
27/1/2022,10:00:00,Pejaten Timur
27/1/2022,11:00:00,Pejaten Timur
27/1/2022,12:00:00,Pejaten Timur
27/1/2022,13:00:00,Pejaten Timur
27/1/2022,14:00:00,Pejaten Timur
27/1/2022,15:00:00,Pejaten Timur
27/1/2022,16:00:00,Ragunan
27/1/2022,17:00:00,Ragunan
27/1/2022,18:00:00,Cilandak Timur
27/1/2022,19:00:00,Cilandak Timur
27/1/2022,20:00:00,Cilandak Timur
27/1/2022,21:00:00,Cilandak Timur
27/1/2022,22:00:00,Cilandak Timur
27/1/2022,23:00:00,Cilandak Timur
28/1/2022,0:00:00,Cilandak Timur
28/1/2022,1:00:00,Cilandak Timur
28/1/2022,2:00:00,Cilandak Timur
28/1/2022,3:00:00,Cilandak Timur
28/1/2022,4:00:00,Cilandak Timur
28/1/2022,5:00:00,Cilandak Timur
28/1/2022,6:00:00,Cilandak Timur
28/1/2022,7:00:00,Cilandak Timur
28/1/2022,8:00:00,Pejaten Timur
28/1/2022,9:00:00,Pejaten Timur
28/1/2022,10:00:00,Pejaten Timur
28/1/2022,11:00:00,Pejaten Timur
28/1/2022,12:00:00,Pejaten Timur
28/1/2022,13:00:00,Pejaten Timur
28/1/2022,14:00:00,Pejaten Timur
28/1/2022,15:00:00,Pejaten Timur
28/1/2022,16:00:00,Ragunan
28/1/2022,17:00:00,Ragunan
28/1/2022,18:00:00,Cilandak Timur
28/1/2022,19:00:00,Cilandak Timur
28/1/2022,20:00:00,Cilandak Timur
28/1/2022,21:00:00,Cilandak Timur
28/1/2022,22:00:00,Cilandak Timur
28/1/2022,23:00:00,Cilandak Timur
29/1/2022,0:00:00,Cilandak Timur
29/1/2022,1:00:00,Cilandak Timur
29/1/2022,2:00:00,Cilandak Timur
29/1/2022,3:00:00,Cilandak Timur
29/1/2022,4:00:00,Cilandak Timur
29/1/2022,5:00:00,Cilandak Timur
29/1/2022,6:00:00,Cilandak Timur
29/1/2022,7:00:00,Cilandak Timur
29/1/2022,8:00:00,Pejaten Timur
29/1/2022,9:00:00,Pejaten Timur
29/1/2022,10:00:00,Pejaten Timur
29/1/2022,11:00:00,Pejaten Timur
29/1/2022,12:00:00,Pejaten Timur
29/1/2022,13:00:00,Pejaten Timur
29/1/2022,14:00:00,Pejaten Timur
29/1/2022,15:00:00,Pejaten Timur
29/1/2022,16:00:00,Ragunan
29/1/2022,17:00:00,Ragunan
29/1/2022,18:00:00,Cilandak Timur
29/1/2022,19:00:00,Cilandak Timur
29/1/2022,20:00:00,Cilandak Timur
29/1/2022,21:00:00,Cilandak Timur
29/1/2022,22:00:00,Cilandak Timur
29/1/2022,23:00:00,Cilandak Timur
